ID,Theme,English Message,Armenian Message
355,Motivation & Focus,A little thought for today: Your efforts are building a beautiful future.,Մի փոքրիկ միտք այսօրվա համար՝ Քո ջանքերը կերտում են գեղեցիկ ապագա:
356,Motivation & Focus,A little thought for today: Trust your pace. You are not falling behind.,Մի փոքրիկ միտք այսօրվա համար՝ Վստահիր քո տեմպին: Դու հետ չես մնում:
357,Motivation & Focus,A little thought for today: Every tiny bit of effort counts.,Մի փոքրիկ միտք այսօրվա համար՝ Ամեն մի փոքրիկ ջանք հաշվի է առնվում:
358,Motivation & Focus,A little thought for today: Give yourself credit for trying your best today.,Մի փոքրիկ միտք այսօրվա համար՝ Գնահատիր ինքդ քեզ այսօր լավագույնս փորձելու համար:
359,Motivation & Focus,"A little thought for today: It is okay to pause, as long as you don't give up.","Մի փոքրիկ միտք այսօրվա համար՝ Նորմալ է դադար առնել, քանի դեռ չես հանձնվում:"
360,Motivation & Focus,A little thought for today: You bring a unique light to everything you do.,"Մի փոքրիկ միտք այսօրվա համար՝ Դու յուրահատուկ լույս ես բերում այն ամենին, ինչ անում ես:"
361,Motivation & Focus,A little thought for today: Your potential is endless.,Մի փոքրիկ միտք այսօրվա համար՝ Քո ներուժն անսահման է:
362,Motivation & Focus,"A little thought for today: Keep going, your future self will thank you.","Մի փոքրիկ միտք այսօրվա համար՝ Շարունակիր, քո ապագա եսը շնորհակալություն կհայտնի քեզ:"
363,Motivation & Focus,A little thought for today: You are planting seeds for tomorrow's success.,Մի փոքրիկ միտք այսօրվա համար՝ Դու սերմեր ես ցանում վաղվա հաջողության համար:
364,Self-Care,A little thought for today: Allow yourself a moment to rest and reset.,Մի փոքրիկ միտք այսօրվա համար՝ Թույլ տուր քեզ մի պահ հանգստանալ և վերականգնվել:
365,Self-Care,A little thought for today: Drinking a little water right now could feel really refreshing.,Մի փոքրիկ միտք այսօրվա համար՝ Հիմա մի փոքր ջուր խմելը կարող է շատ թարմացնող լինել:
366,Self-Care,"A little thought for today: Stretch softly, listen to what your body needs.","Մի փոքրիկ միտք այսօրվա համար՝ Մեղմորեն ձգվիր, լսիր, թե ինչ է պետք քո մարմնին:"
367,Self-Care,A little thought for today: Resting is just as productive as working.,"Մի փոքրիկ միտք այսօրվա համար՝ Հանգստանալը նույնքան արդյունավետ է, որքան աշխատելը:"
368,Self-Care,A little thought for today: Make sure you nourish your body with something tasty today.,"Մի փոքրիկ միտք այսօրվա համար՝ Համոզվիր, որ այսօր սնուցում ես մարմինդ որևէ համեղ բանով:"
369,Self-Care,A little thought for today: Stepping away from the screen for a minute can work wonders.,Մի փոքրիկ միտք այսօրվա համար՝ Էկրանից մեկ րոպեով կտրվելը կարող է հրաշքներ գործել:
370,Self-Care,A little thought for today: Your well-being is your most important project.,Մի փոքրիկ միտք այսօրվա համար՝ Քո բարեկեցությունը քո ամենակարևոր նախագիծն է:
371,Self-Care,A little thought for today: Let your shoulders drop and find a comfortable position.,Մի փոքրիկ միտք այսօրվա համար՝ Թուլացրու ուսերդ և գտիր հարմար դիրք:
372,Self-Care,A little thought for today: Treat yourself with the same kindness you offer friends.,"Մի փոքրիկ միտք այսօրվա համար՝ Վերաբերվիր քեզ նույն բարությամբ, որը տալիս ես ընկերներիդ:"
373,Self-Care,A little thought for today: A warm cup of tea or coffee is waiting to comfort you.,Մի փոքրիկ միտք այսօրվա համար՝ Մի գավաթ տաք թեյը կամ սուրճը սպասում է քեզ հանգստացնելու:
374,Self-Care,A little thought for today: Give your eyes a gentle break and look at something green.,Մի փոքրիկ միտք այսօրվա համար՝ Աչքերիդ մեղմ հանգիստ տուր և նայիր ինչ-որ կանաչ բանի:
375,Self-Care,A little thought for today: Do one small thing that makes you smile right now.,"Մի փոքրիկ միտք այսօրվա համար՝ Արա մի փոքրիկ բան, որն այս պահին կստիպի քեզ ժպտալ:"
376,Self-Care,"A little thought for today: Self-care isn't selfish, it's essential.","Մի փոքրիկ միտք այսօրվա համար՝ Ինքնախնամքը եսասիրություն չէ, այն անհրաժեշտություն է:"
377,Self-Acceptance,"A little thought for today: You are entirely enough, exactly as you are.","Մի փոքրիկ միտք այսօրվա համար՝ Դու լիովին բավարար ես այնպես, ինչպես կաս:"
378,Self-Acceptance,"A little thought for today: Embrace your unique journey, there is no one else like you.","Մի փոքրիկ միտք այսօրվա համար՝ Ընդունիր քո յուրահատուկ ուղին, ոչ ոք քեզ նման չէ:"
379,Self-Acceptance,A little thought for today: Your worth is not measured by your productivity.,Մի փոքրիկ միտք այսօրվա համար՝ Քո արժեքը չի չափվում քո արտադրողականությամբ:
380,Self-Acceptance,A little thought for today: It is wonderful to just be yourself.,Մի փոքրիկ միտք այսօրվա համար՝ Հրաշալի է պարզապես լինել ինքդ քեզ պես:
381,Self-Acceptance,A little thought for today: Forgive yourself for the mistakes; they help you grow.,"Մի փոքրիկ միտք այսօրվա համար՝ Ներիր քեզ սխալների համար, դրանք օգնում են քեզ աճել:"
382,Self-Acceptance,A little thought for today: Your imperfections make you beautifully human.,Մի փոքրիկ միտք այսօրվա համար՝ Քո թերությունները քեզ դարձնում են գեղեցիկ մարդկային:
383,Self-Acceptance,A little thought for today: Celebrate the person you are becoming every single day.,"Մի փոքրիկ միտք այսօրվա համար՝ Տոնիր այն մարդուն, ում վերածվում ես ամեն օր:"
384,Self-Acceptance,"A little thought for today: You are worthy of love, especially from yourself.","Մի փոքրիկ միտք այսօրվա համար՝ Դու արժանի ես սիրո, հատկապես ինքդ քո կողմից:"
385,Self-Acceptance,A little thought for today: Let go of the need to be perfect.,Մի փոքրիկ միտք այսօրվա համար՝ Բաց թող կատարյալ լինելու կարիքը:
386,Self-Acceptance,"A little thought for today: You belong right here, exactly where you are.","Մի փոքրիկ միտք այսօրվա համար՝ Քո տեղը հենց այստեղ է, ճիշտ այնտեղ, որտեղ կաս:"
387,Self-Acceptance,A little thought for today: You don't need to earn your worth; you are inherently valuable.,"Մի փոքրիկ միտք այսօրվա համար՝ Քեզ պետք չէ վաստակել քո արժեքը, դու ի ծնե արժեքավոր ես:"
388,Self-Acceptance,A little thought for today: Speak to yourself like someone you deeply love.,"Մի փոքրիկ միտք այսօրվա համար՝ Խոսիր քեզ հետ այնպես, ինչպես կխոսեիր մեկի հետ, ում խորապես սիրում ես:"
389,Mental Health,"A little thought for today: Breathe in peace, breathe out any lingering stress.","Մի փոքրիկ միտք այսօրվա համար՝ Ներշնչիր խաղաղություն, արտաշնչիր կուտակված սթրեսը:"
390,Mental Health,A little thought for today: It is completely okay to feel overwhelmed sometimes.,Մի փոքրիկ միտք այսօրվա համար՝ Լիովին նորմալ է երբեմն ծանրաբեռնված զգալը:
391,Mental Health,A little thought for today: Be very gentle with your mind today.,Մի փոքրիկ միտք այսօրվա համար՝ Այսօր շատ մեղմ եղիր քո մտքերի հետ:
392,Mental Health,"A little thought for today: Your feelings are valid, whatever they may be.","Մի փոքրիկ միտք այսօրվա համար՝ Քո զգացմունքները կարևոր են, անկախ նրանից, թե ինչպիսին են դրանք:"
393,Mental Health,A little thought for today: You don't have to have everything figured out right now.,"Մի փոքրիկ միտք այսօրվա համար՝ Պարտադիր չէ, որ հիմա ամեն ինչ պարզած լինես:"
394,Mental Health,A little thought for today: Protect your peace; it's okay to say no.,"Մի փոքրիկ միտք այսօրվա համար՝ Պաշտպանիր քո խաղաղությունը, նորմալ է «ոչ» ասելը:"
395,Mental Health,"A little thought for today: Healing takes time, and you are doing your best.","Մի փոքրիկ միտք այսօրվա համար՝ Ապաքինումը ժամանակ է պահանջում, և դու անում ես առավելագույնը:"
396,Mental Health,"A little thought for today: Take things one day, or even one hour, at a time.","Մի փոքրիկ միտք այսօրվա համար՝ Ամեն ինչ արա օր առ օր, կամ նույնիսկ ժամ առ ժամ:"
397,Mental Health,A little thought for today: You are safe right here in this moment.,Մի փոքրիկ միտք այսօրվա համար՝ Այս պահին դու ապահով ես հենց այստեղ:
398,Mental Health,A little thought for today: Let your thoughts pass like clouds in the sky.,Մի փոքրիկ միտք այսօրվա համար՝ Թող մտքերդ անցնեն երկնքի ամպերի պես:
399,Mental Health,"A little thought for today: It takes courage to keep going, and I am proud of you.","Մի փոքրիկ միտք այսօրվա համար՝ Շարունակելու համար քաջություն է պետք, և ես հպարտանում եմ քեզանով:"
400,Mental Health,A little thought for today: Release the tension you are carrying in your body.,"Մի փոքրիկ միտք այսօրվա համար՝ Ազատիր այն լարվածությունը, որը կրում ես մարմնումդ:"
401,Motivation & Focus,Take a gentle breath. You are capable of wonderful things.,Խաղաղ շունչ քաշիր: Դու ունակ ես հրաշալի բաների:
402,Motivation & Focus,Take a gentle breath. Take it one small step at a time.,Խաղաղ շունչ քաշիր: Առաջ գնա փոքրիկ քայլերով:
403,Motivation & Focus,"Take a gentle breath. Focus on your progress, not perfection.","Խաղաղ շունչ քաշիր: Կենտրոնացիր քո առաջընթացի, այլ ոչ թե կատարելության վրա:"
404,Motivation & Focus,Take a gentle breath. You have the strength to overcome this challenge.,Խաղաղ շունչ քաշիր: Դու ուժ ունես հաղթահարելու այս մարտահրավերը:
405,Motivation & Focus,Take a gentle breath. Your efforts are building a beautiful future.,Խաղաղ շունչ քաշիր: Քո ջանքերը կերտում են գեղեցիկ ապագա:
406,Motivation & Focus,Take a gentle breath. Trust your pace. You are not falling behind.,Խաղաղ շունչ քաշիր: Վստահիր քո տեմպին: Դու հետ չես մնում:
407,Motivation & Focus,Take a gentle breath. Every tiny bit of effort counts.,Խաղաղ շունչ քաշիր: Ամեն մի փոքրիկ ջանք հաշվի է առնվում:
408,Motivation & Focus,Take a gentle breath. Give yourself credit for trying your best today.,Խաղաղ շունչ քաշիր: Գնահատիր ինքդ քեզ այսօր լավագույնս փորձելու համար:
409,Motivation & Focus,"Take a gentle breath. It is okay to pause, as long as you don't give up.","Խաղաղ շունչ քաշիր: Նորմալ է դադար առնել, քանի դեռ չես հանձնվում:"
410,Motivation & Focus,Take a gentle breath. You bring a unique light to everything you do.,"Խաղաղ շունչ քաշիր: Դու յուրահատուկ լույս ես բերում այն ամենին, ինչ անում ես:"
411,Motivation & Focus,Take a gentle breath. Your potential is endless.,Խաղաղ շունչ քաշիր: Քո ներուժն անսահման է:
412,Motivation & Focus,"Take a gentle breath. Keep going, your future self will thank you.","Խաղաղ շունչ քաշիր: Շարունակիր, քո ապագա եսը շնորհակալություն կհայտնի քեզ:"
413,Motivation & Focus,Take a gentle breath. You are planting seeds for tomorrow's success.,Խաղաղ շունչ քաշիր: Դու սերմեր ես ցանում վաղվա հաջողության համար:
414,Self-Care,Take a gentle breath. Allow yourself a moment to rest and reset.,Խաղաղ շունչ քաշիր: Թույլ տուր քեզ մի պահ հանգստանալ և վերականգնվել:
415,Self-Care,Take a gentle breath. Drinking a little water right now could feel really refreshing.,Խաղաղ շունչ քաշիր: Հիմա մի փոքր ջուր խմելը կարող է շատ թարմացնող լինել:
416,Self-Care,"Take a gentle breath. Stretch softly, listen to what your body needs.","Խաղաղ շունչ քաշիր: Մեղմորեն ձգվիր, լսիր, թե ինչ է պետք քո մարմնին:"
417,Self-Care,Take a gentle breath. Resting is just as productive as working.,"Խաղաղ շունչ քաշիր: Հանգստանալը նույնքան արդյունավետ է, որքան աշխատելը:"
418,Self-Care,Take a gentle breath. Make sure you nourish your body with something tasty today.,"Խաղաղ շունչ քաշիր: Համոզվիր, որ այսօր սնուցում ես մարմինդ որևէ համեղ բանով:"
419,Self-Care,Take a gentle breath. Stepping away from the screen for a minute can work wonders.,Խաղաղ շունչ քաշիր: Էկրանից մեկ րոպեով կտրվելը կարող է հրաշքներ գործել:
420,Self-Care,Take a gentle breath. Your well-being is your most important project.,Խաղաղ շունչ քաշիր: Քո բարեկեցությունը քո ամենակարևոր նախագիծն է:
421,Self-Care,Take a gentle breath. Let your shoulders drop and find a comfortable position.,Խաղաղ շունչ քաշիր: Թուլացրու ուսերդ և գտիր հարմար դիրք:
422,Self-Care,Take a gentle breath. Treat yourself with the same kindness you offer friends.,"Խաղաղ շունչ քաշիր: Վերաբերվիր քեզ նույն բարությամբ, որը տալիս ես ընկերներիդ:"
423,Self-Care,Take a gentle breath. A warm cup of tea or coffee is waiting to comfort you.,Խաղաղ շունչ քաշիր: Մի գավաթ տաք թեյը կամ սուրճը սպասում է քեզ հանգստացնելու:
424,Self-Care,Take a gentle breath. Give your eyes a gentle break and look at something green.,Խաղաղ շունչ քաշիր: Աչքերիդ մեղմ հանգիստ տուր և նայիր ինչ-որ կանաչ բանի:
425,Self-Care,Take a gentle breath. Do one small thing that makes you smile right now.,"Խաղաղ շունչ քաշիր: Արա մի փոքրիկ բան, որն այս պահին կստիպի քեզ ժպտալ:"
426,Self-Care,"Take a gentle breath. Self-care isn't selfish, it's essential.","Խաղաղ շունչ քաշիր: Ինքնախնամքը եսասիրություն չէ, այն անհրաժեշտություն է:"
427,Self-Acceptance,"Take a gentle breath. You are entirely enough, exactly as you are.","Խաղաղ շունչ քաշիր: Դու լիովին բավարար ես այնպես, ինչպես կաս:"
428,Self-Acceptance,"Take a gentle breath. Embrace your unique journey, there is no one else like you.","Խաղաղ շունչ քաշիր: Ընդունիր քո յուրահատուկ ուղին, ոչ ոք քեզ նման չէ:"
429,Self-Acceptance,Take a gentle breath. Your worth is not measured by your productivity.,Խաղաղ շունչ քաշիր: Քո արժեքը չի չափվում քո արտադրողականությամբ:
430,Self-Acceptance,Take a gentle breath. It is wonderful to just be yourself.,Խաղաղ շունչ քաշիր: Հրաշալի է պարզապես լինել ինքդ քեզ պես:
431,Self-Acceptance,Take a gentle breath. Forgive yourself for the mistakes; they help you grow.,"Խաղաղ շունչ քաշիր: Ներիր քեզ սխալների համար, դրանք օգնում են քեզ աճել:"
432,Self-Acceptance,Take a gentle breath. Your imperfections make you beautifully human.,Խաղաղ շունչ քաշիր: Քո թերությունները քեզ դարձնում են գեղեցիկ մարդկային:
433,Self-Acceptance,Take a gentle breath. Celebrate the person you are becoming every single day.,"Խաղաղ շունչ քաշիր: Տոնիր այն մարդուն, ում վերածվում ես ամեն օր:"
434,Self-Acceptance,"Take a gentle breath. You are worthy of love, especially from yourself.","Խաղաղ շունչ քաշիր: Դու արժանի ես սիրո, հատկապես ինքդ քո կողմից:"
435,Self-Acceptance,Take a gentle breath. Let go of the need to be perfect.,Խաղաղ շունչ քաշիր: Բաց թող կատարյալ լինելու կարիքը:
436,Self-Acceptance,"Take a gentle breath. You belong right here, exactly where you are.","Խաղաղ շունչ քաշիր: Քո տեղը հենց այստեղ է, ճիշտ այնտեղ, որտեղ կաս:"
437,Self-Acceptance,Take a gentle breath. You don't need to earn your worth; you are inherently valuable.,"Խաղաղ շունչ քաշիր: Քեզ պետք չէ վաստակել քո արժեքը, դու ի ծնե արժեքավոր ես:"
438,Self-Acceptance,Take a gentle breath. Speak to yourself like someone you deeply love.,"Խաղաղ շունչ քաշիր: Խոսիր քեզ հետ այնպես, ինչպես կխոսեիր մեկի հետ, ում խորապես սիրում ես:"
439,Mental Health,"Take a gentle breath. Breathe in peace, breathe out any lingering stress.","Խաղաղ շունչ քաշիր: Ներշնչիր խաղաղություն, արտաշնչիր կուտակված սթրեսը:"
440,Mental Health,Take a gentle breath. It is completely okay to feel overwhelmed sometimes.,Խաղաղ շունչ քաշիր: Լիովին նորմալ է երբեմն ծանրաբեռնված զգալը:
441,Mental Health,Take a gentle breath. Be very gentle with your mind today.,Խաղաղ շունչ քաշիր: Այսօր շատ մեղմ եղիր քո մտքերի հետ:
442,Mental Health,"Take a gentle breath. Your feelings are valid, whatever they may be.","Խաղաղ շունչ քաշիր: Քո զգացմունքները կարևոր են, անկախ նրանից, թե ինչպիսին են դրանք:"
443,Mental Health,Take a gentle breath. You don't have to have everything figured out right now.,"Խաղաղ շունչ քաշիր: Պարտադիր չէ, որ հիմա ամեն ինչ պարզած լինես:"
444,Mental Health,Take a gentle breath. Protect your peace; it's okay to say no.,"Խաղաղ շունչ քաշիր: Պաշտպանիր քո խաղաղությունը, նորմալ է «ոչ» ասելը:"
445,Mental Health,"Take a gentle breath. Healing takes time, and you are doing your best.","Խաղաղ շունչ քաշիր: Ապաքինումը ժամանակ է պահանջում, և դու անում ես առավելագույնը:"
446,Mental Health,"Take a gentle breath. Take things one day, or even one hour, at a time.","Խաղաղ շունչ քաշիր: Ամեն ինչ արա օր առ օր, կամ նույնիսկ ժամ առ ժամ:"
447,Mental Health,Take a gentle breath. You are safe right here in this moment.,Խաղաղ շունչ քաշիր: Այս պահին դու ապահով ես հենց այստեղ:
448,Mental Health,Take a gentle breath. Let your thoughts pass like clouds in the sky.,Խաղաղ շունչ քաշիր: Թող մտքերդ անցնեն երկնքի ամպերի պես:
449,Mental Health,"Take a gentle breath. It takes courage to keep going, and I am proud of you.","Խաղաղ շունչ քաշիր: Շարունակելու համար քաջություն է պետք, և ես հպարտանում եմ քեզանով:"
450,Mental Health,Take a gentle breath. Release the tension you are carrying in your body.,"Խաղաղ շունչ քաշիր: Ազատիր այն լարվածությունը, որը կրում ես մարմնումդ:"
451,Motivation & Focus,Sending good vibes: You are capable of wonderful things.,Դրական էներգիա եմ ուղարկում. Դու ունակ ես հրաշալի բաների:
452,Motivation & Focus,Sending good vibes: Take it one small step at a time.,Դրական էներգիա եմ ուղարկում. Առաջ գնա փոքրիկ քայլերով:
453,Motivation & Focus,"Sending good vibes: Focus on your progress, not perfection.","Դրական էներգիա եմ ուղարկում. Կենտրոնացիր քո առաջընթացի, այլ ոչ թե կատարելության վրա:"
454,Motivation & Focus,Sending good vibes: You have the strength to overcome this challenge.,Դրական էներգիա եմ ուղարկում. Դու ուժ ունես հաղթահարելու այս մարտահրավերը:
455,Motivation & Focus,Sending good vibes: Your efforts are building a beautiful future.,Դրական էներգիա եմ ուղարկում. Քո ջանքերը կերտում են գեղեցիկ ապագա:
456,Motivation & Focus,Sending good vibes: Trust your pace. You are not falling behind.,Դրական էներգիա եմ ուղարկում. Վստահիր քո տեմպին: Դու հետ չես մնում:
457,Motivation & Focus,Sending good vibes: Every tiny bit of effort counts.,Դրական էներգիա եմ ուղարկում. Ամեն մի փոքրիկ ջանք հաշվի է առնվում:
458,Motivation & Focus,Sending good vibes: Give yourself credit for trying your best today.,Դրական էներգիա եմ ուղարկում. Գնահատիր ինքդ քեզ այսօր լավագույնս փորձելու համար:
459,Motivation & Focus,"Sending good vibes: It is okay to pause, as long as you don't give up.","Դրական էներգիա եմ ուղարկում. Նորմալ է դադար առնել, քանի դեռ չես հանձնվում:"
460,Motivation & Focus,Sending good vibes: You bring a unique light to everything you do.,"Դրական էներգիա եմ ուղարկում. Դու յուրահատուկ լույս ես բերում այն ամենին, ինչ անում ես:"
461,Motivation & Focus,Sending good vibes: Your potential is endless.,Դրական էներգիա եմ ուղարկում. Քո ներուժն անսահման է:
462,Motivation & Focus,"Sending good vibes: Keep going, your future self will thank you.","Դրական էներգիա եմ ուղարկում. Շարունակիր, քո ապագա եսը շնորհակալություն կհայտնի քեզ:"
463,Motivation & Focus,Sending good vibes: You are planting seeds for tomorrow's success.,Դրական էներգիա եմ ուղարկում. Դու սերմեր ես ցանում վաղվա հաջողության համար:
464,Self-Care,Sending good vibes: Allow yourself a moment to rest and reset.,Դրական էներգիա եմ ուղարկում. Թույլ տուր քեզ մի պահ հանգստանալ և վերականգնվել:
465,Self-Care,Sending good vibes: Drinking a little water right now could feel really refreshing.,Դրական էներգիա եմ ուղարկում. Հիմա մի փոքր ջուր խմելը կարող է շատ թարմացնող լինել:
466,Self-Care,"Sending good vibes: Stretch softly, listen to what your body needs.","Դրական էներգիա եմ ուղարկում. Մեղմորեն ձգվիր, լսիր, թե ինչ է պետք քո մարմնին:"
467,Self-Care,Sending good vibes: Resting is just as productive as working.,"Դրական էներգիա եմ ուղարկում. Հանգստանալը նույնքան արդյունավետ է, որքան աշխատելը:"
468,Self-Care,Sending good vibes: Make sure you nourish your body with something tasty today.,"Դրական էներգիա եմ ուղարկում. Համոզվիր, որ այսօր սնուցում ես մարմինդ որևէ համեղ բանով:"
469,Self-Care,Sending good vibes: Stepping away from the screen for a minute can work wonders.,Դրական էներգիա եմ ուղարկում. Էկրանից մեկ րոպեով կտրվելը կարող է հրաշքներ գործել:
470,Self-Care,Sending good vibes: Your well-being is your most important project.,Դրական էներգիա եմ ուղարկում. Քո բարեկեցությունը քո ամենակարևոր նախագիծն է:
471,Self-Care,Sending good vibes: Let your shoulders drop and find a comfortable position.,Դրական էներգիա եմ ուղարկում. Թուլացրու ուսերդ և գտիր հարմար դիրք:
472,Self-Care,Sending good vibes: Treat yourself with the same kindness you offer friends.,"Դրական էներգիա եմ ուղարկում. Վերաբերվիր քեզ նույն բարությամբ, որը տալիս ես ընկերներիդ:"
473,Self-Care,Sending good vibes: A warm cup of tea or coffee is waiting to comfort you.,Դրական էներգիա եմ ուղարկում. Մի գավաթ տաք թեյը կամ սուրճը սպասում է քեզ հանգստացնելու:
474,Self-Care,Sending good vibes: Give your eyes a gentle break and look at something green.,Դրական էներգիա եմ ուղարկում. Աչքերիդ մեղմ հանգիստ տուր և նայիր ինչ-որ կանաչ բանի:
475,Self-Care,Sending good vibes: Do one small thing that makes you smile right now.,"Դրական էներգիա եմ ուղարկում. Արա մի փոքրիկ բան, որն այս պահին կստիպի քեզ ժպտալ:"
476,Self-Care,"Sending good vibes: Self-care isn't selfish, it's essential.","Դրական էներգիա եմ ուղարկում. Ինքնախնամքը եսասիրություն չէ, այն անհրաժեշտություն է:"
477,Self-Acceptance,"Sending good vibes: You are entirely enough, exactly as you are.","Դրական էներգիա եմ ուղարկում. Դու լիովին բավարար ես այնպես, ինչպես կաս:"
478,Self-Acceptance,"Sending good vibes: Embrace your unique journey, there is no one else like you.","Դրական էներգիա եմ ուղարկում. Ընդունիր քո յուրահատուկ ուղին, ոչ ոք քեզ նման չէ:"
479,Self-Acceptance,Sending good vibes: Your worth is not measured by your productivity.,Դրական էներգիա եմ ուղարկում. Քո արժեքը չի չափվում քո արտադրողականությամբ:
480,Self-Acceptance,Sending good vibes: It is wonderful to just be yourself.,Դրական էներգիա եմ ուղարկում. Հրաշալի է պարզապես լինել ինքդ քեզ պես:
481,Self-Acceptance,Sending good vibes: Forgive yourself for the mistakes; they help you grow.,"Դրական էներգիա եմ ուղարկում. Ներիր քեզ սխալների համար, դրանք օգնում են քեզ աճել:"
482,Self-Acceptance,Sending good vibes: Your imperfections make you beautifully human.,Դրական էներգիա եմ ուղարկում. Քո թերությունները քեզ դարձնում են գեղեցիկ մարդկային:
483,Self-Acceptance,Sending good vibes: Celebrate the person you are becoming every single day.,"Դրական էներգիա եմ ուղարկում. Տոնիր այն մարդուն, ում վերածվում ես ամեն օր:"
484,Self-Acceptance,"Sending good vibes: You are worthy of love, especially from yourself.","Դրական էներգիա եմ ուղարկում. Դու արժանի ես սիրո, հատկապես ինքդ քո կողմից:"
485,Self-Acceptance,Sending good vibes: Let go of the need to be perfect.,Դրական էներգիա եմ ուղարկում. Բաց թող կատարյալ լինելու կարիքը:
486,Self-Acceptance,"Sending good vibes: You belong right here, exactly where you are.","Դրական էներգիա եմ ուղարկում. Քո տեղը հենց այստեղ է, ճիշտ այնտեղ, որտեղ կաս:"
487,Self-Acceptance,Sending good vibes: You don't need to earn your worth; you are inherently valuable.,"Դրական էներգիա եմ ուղարկում. Քեզ պետք չէ վաստակել քո արժեքը, դու ի ծնե արժեքավոր ես:"
488,Self-Acceptance,Sending good vibes: Speak to yourself like someone you deeply love.,"Դրական էներգիա եմ ուղարկում. Խոսիր քեզ հետ այնպես, ինչպես կխոսեիր մեկի հետ, ում խորապես սիրում ես:"
489,Mental Health,"Sending good vibes: Breathe in peace, breathe out any lingering stress.","Դրական էներգիա եմ ուղարկում. Ներշնչիր խաղաղություն, արտաշնչիր կուտակված սթրեսը:"
490,Mental Health,Sending good vibes: It is completely okay to feel overwhelmed sometimes.,Դրական էներգիա եմ ուղարկում. Լիովին նորմալ է երբեմն ծանրաբեռնված զգալը:
491,Mental Health,Sending good vibes: Be very gentle with your mind today.,Դրական էներգիա եմ ուղարկում. Այսօր շատ մեղմ եղիր քո մտքերի հետ:
492,Mental Health,"Sending good vibes: Your feelings are valid, whatever they may be.","Դրական էներգիա եմ ուղարկում. Քո զգացմունքները կարևոր են, անկախ նրանից, թե ինչպիսին են դրանք:"
493,Mental Health,Sending good vibes: You don't have to have everything figured out right now.,"Դրական էներգիա եմ ուղարկում. Պարտադիր չէ, որ հիմա ամեն ինչ պարզած լինես:"
494,Mental Health,Sending good vibes: Protect your peace; it's okay to say no.,"Դրական էներգիա եմ ուղարկում. Պաշտպանիր քո խաղաղությունը, նորմալ է «ոչ» ասելը:"
495,Mental Health,"Sending good vibes: Healing takes time, and you are doing your best.","Դրական էներգիա եմ ուղարկում. Ապաքինումը ժամանակ է պահանջում, և դու անում ես առավելագույնը:"
496,Mental Health,"Sending good vibes: Take things one day, or even one hour, at a time.","Դրական էներգիա եմ ուղարկում. Ամեն ինչ արա օր առ օր, կամ նույնիսկ ժամ առ ժամ:"
497,Mental Health,Sending good vibes: You are safe right here in this moment.,Դրական էներգիա եմ ուղարկում. Այս պահին դու ապահով ես հենց այստեղ:
498,Mental Health,Sending good vibes: Let your thoughts pass like clouds in the sky.,Դրական էներգիա եմ ուղարկում. Թող մտքերդ անցնեն երկնքի ամպերի պես:
499,Mental Health,"Sending good vibes: It takes courage to keep going, and I am proud of you.","Դրական էներգիա եմ ուղարկում. Շարունակելու համար քաջություն է պետք, և ես հպարտանում եմ քեզանով:"
500,Mental Health,Sending good vibes: Release the tension you are carrying in your body.,"Դրական էներգիա եմ ուղարկում. Ազատիր այն լարվածությունը, որը կրում ես մարմնումդ:"
